"Report Written:","Wednesday, May 09, 2018"
"Project Path:","C:\Users\NEC-PCuser\Documents\DesignSpark\SimpleMotorDriver\SimpleMotorDriver.prj"
"Design Path:","C:\Users\NEC-PCuser\Documents\DesignSpark\SimpleMotorDriver\SimpleMotorDriver.pcb"
"Design Title:",
"Created:","2017/09/13 22:38:22"
"Last Saved:","2018/05/09 22:30:34"
"Editing Time:","13320 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"D1","1","1SS352","","SOD-323","","","","",""
"CC1","1","25PK100MEFC5X11","","USER","","","","","CC"
"U2","1","A3921","","TSSOP","Allegro","A3921KLPTR-T","","",""
"IC1","1","ACPL244","","SOIC","","ACPL-244-500E","","","optocoupler"
"CONN3","1","B04P-VL","","VN","JST","B04P-VL-VN-1.8","","",""
"C6","1","C-chip","0.1u","1608","","","","",""
"C2","1","C-chip","0.1u","1608","","","","",""
"C4","1","C-chip","0.1u","1608","","","","",""
"C7","1","C-chip","0.1u","1608","","","","",""
"C1","1","C-chip","0.22u","1608","","GRM188B31H224","","",""
"C3","1","C-chip","0.22u","1608","","GRM188B31H224","","",""
"C5","1","C-chip","0.47u","2012","","GRM21BB31H474","","",""
"CONN1","1","DF1B-5P-2.5","","TOP","","","","",""
"TR1","1","IRLML6344TR","","SOT","IR","IRLML6344TRPBFTR","","",""
"TR2","1","IRLML6344TR","","SOT","IR","IRLML6344TRPBFTR","","",""
"Q1","1","IRLR8726PbF","","SML","IR","IRLR8726TRPBF","","",""
"Q2","1","IRLR8726PbF","","SML","IR","IRLR8726TRPBF","","",""
"Q3","1","IRLR8726PbF","","SML","IR","IRLR8726TRPBF","","",""
"Q4","1","IRLR8726PbF","","SML","IR","IRLR8726TRPBF","","",""
"LED1","1","LED","","1608","","","","",""
"LED2","1","LED","","1608","","","","",""
"LED3","1","LED","","1608","","","","",""
"R13","1","R-1608","0","1608","Panasonic","ERBRE1R00V","","",""
"R10","1","R-1608","1k","1608","","","","",""
"R15","1","R-1608","1k","1608","","","","",""
"R17","1","R-1608","1k","1608","","","","",""
"R23","1","R-1608","1k","1608","","","","",""
"R14","1","R-1608","1k","1608","","","","",""
"R18","1","R-1608","1k","1608","","","","",""
"R19","1","R-1608","1k","1608","","","","",""
"R16","1","R-1608","1k","1608","","","","",""
"R25","1","R-1608","4.7k","1608","","","","",""
"R26","1","R-1608","4.7k","1608","","","","",""
"R1","1","R-1608","10","1608","","","","",""
"R2","1","R-1608","10","1608","","","","",""
"R3","1","R-1608","10","1608","","","","",""
"R4","1","R-1608","10","1608","","","","",""
"R5","1","R-1608","10k","1608","","","","",""
"R6","1","R-1608","10k","1608","","","","",""
"R7","1","R-1608","10k","1608","","","","",""
"R8","1","R-1608","10k","1608","","","","",""
"R9","1","R-1608","10k","1608","","","","",""
"R21","1","R-1608","10k","1608","","","","",""
"R11","1","R-1608","33k","1608","","","","",""
"R22","1","R-1608","47k","1608","","","","",""
"R12","1","RN_4","10k","1608","","","","",""
"D2","1","SBR15U30SP5","","POWERDI5","","SBR15U30SP5","","","SCHOTTKY"
"D4","1","SBR15U30SP5","","POWERDI5","","SBR15U30SP5","","","SCHOTTKY"
"D3","1","SBR15U30SP5","","POWERDI5","","SBR15U30SP5","","","SCHOTTKY"
"D5","1","SBR15U30SP5","","POWERDI5","","SBR15U30SP5","","","SCHOTTKY"
"IC2","1","TLP2355","","SO6","","","","","PhotoCpupler"
"C8","1","UD pi10","","SMD","","","","",""
"CONN2","1","ZH 4P","","sm4_side","","","","",""
